X_BIN_1 0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
X_BIN_2 0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
X_BIN_3 0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
X_BIN_4 0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00,0.00,0.00,0.50,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,
X_BIN_5 0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.75,1.00,0.00,1.00,0.50,0.50,0.00,1.00,1.00,0.00,0.00,0.50,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,1.00,0.67,1.00,0.00,0.00,0.50,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,
X_BIN_6 0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.50,0.75,1.00,0.57,1.00,1.00,1.00,1.00,0.80,0.50,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.50,0.00,0.50,1.00,0.00,1.00,0.67,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.50,0.25,0.00,0.00,1.00,0.00,1.00,1.00,1.00,
X_BIN_7 0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.85,0.78,0.82,0.69,0.80,0.89,0.92,0.75,0.85,0.79,0.97,0.73,0.79,0.68,0.85,0.81,0.74,0.65,0.75,0.72,0.78,0.75,0.91,0.91,0.60,0.83,0.69,0.83,0.71,0.40,0.60,0.57,0.86,0.75,0.60,0.67,1.00,0.80,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,
X_BIN_8 0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.83,0.78,0.81,0.80,0.76,0.86,0.82,0.89,0.88,0.82,0.84,0.77,0.84,0.76,0.82,0.81,0.83,0.82,0.75,0.78,0.80,0.78,0.82,0.89,0.67,0.86,0.70,0.71,0.73,0.74,0.86,0.96,0.82,0.85,0.76,0.83,0.86,0.89,1.00,0.60,0.67,0.60,0.71,0.67,0.67,1.00,1.00,1.00,0.50,1.00,1.00,1.00,
X_BIN_9 0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.72,0.82,0.78,0.76,0.87,0.81,0.78,0.81,0.88,0.81,0.76,0.79,0.78,0.76,0.78,0.79,0.78,0.81,0.75,0.80,0.81,0.80,0.82,0.80,0.79,0.84,0.71,0.87,0.79,0.77,0.88,0.84,0.81,0.91,0.75,0.81,0.92,0.67,0.75,0.86,0.80,1.00,0.88,0.75,0.80,0.67,1.00,1.00,1.00,1.00,1.00,1.00,
X_BIN_10 0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.86,0.88,0.78,0.76,0.81,0.85,0.81,0.84,0.80,0.83,0.86,0.86,0.80,0.84,0.79,0.71,0.85,0.74,0.82,0.79,0.76,0.78,0.81,0.83,0.77,0.80,0.71,0.71,0.76,0.83,0.84,0.75,0.86,0.70,0.91,0.87,0.89,0.77,0.73,1.00,1.00,0.86,0.75,0.40,0.80,0.71,0.75,1.00,0.50,0.83,0.60,0.50,
