6709	Prod	LH2	24.293	13	9	0	15.554		131.934		0.282		63.83		1066567.0	0.9387			!
6710	Prod	LH2	24.36	12	9	0	18.704		158.84		0.337		74.771		1237020.0	0.9364			!
6711	Prod	LH2	24.056	12	9	0	16.44		139.47		0.296		135.622		2250875.0	0.9412			!
6712	Prod	LH2	35.603	12	9	0	29.325		247.734		0.735		101.282		2351826.0	0.9209			!
6713	Prod	LH2	34.959	12	9	0	27.582		232.735		0.688		106.622		2468909.0	0.9144			!
6714	Prod	LH2	35.601	12	9	0	31.63		266.731		0.792		99.482		2312018.0	0.9193			!
6715	Prod	LH2	35.704	12	9	0	31.571		265.858		0.79		133.36		3100675.0	0.9234			!
6716	Prod	LH2	35.338	12	9	0	30.671		258.152		0.766		114.011		2648351.0	0.9194			!
6718	Prod	LH2	50.569	12	9	0	44.132		368.554		1.537		161.635		5294112.0	0.9004			!
6719	Prod	LH2	49.773	12	9	0	43.285		361.563		1.502		148.311		4842659.0	0.8972			!
6720	Prod	LH2	49.215	12	9	0	40.775		340.098		1.41		147.405		4801250.0	0.9085			!
6721	Prod	LH2	49.676	12	9	0	40.031		333.73		1.387		109.873		3586973.0	0.8961			!
6724	Prod	LH2	39.006	12	9	0	36.551		305.403		1.018		8.803		245141.0	0.9147			!
6725	Prod	LH2	40.766	12	9	0	38.2		319.574		1.079		142.553		3773497.0	0.9126			!
6726	Prod	LH2	40.221	12	9	0	37.648		315.117		1.058		81.894		2155123.0	0.9161			!
6727	Prod	LH2	40.922	12	9	0	38.326		320.625		1.086		54.0		1437618.0	0.9065			!
6728	Prod	LH2	40.782	12	9	0	38.232		319.445		1.081		137.485		3646912.0	0.9139			!
6729	Prod	LH2	40.961	12	9	0	38.387		320.688		1.086		135.672		3598785.0	0.9132			!
6730	Prod	LH2	40.887	12	9	0	38.342		320.119		1.084		160.132		4244730.0	0.9094			!
6736	Prod	LH2	49.0	13	10	0	46.224		384.94		1.591		131.922		4288535.0	0.8961			!
6737	Prod	LH2	48.579	13	10	0	45.855		381.86		1.571		59.222		1924341.0	0.8961			!
6738	Prod	LH2	48.977	13	10	0	46.291		385.104		1.594		135.703		4417490.0	0.899			!
6739	Prod	LH2	50.891	13	10	0	48.093		400.109		1.669		150.119		4921455.0	0.8931			!
6740	Prod	LH2	50.211	13	10	0	47.499		394.728		1.642		159.767		5225408.0	0.8926			!
6741	Prod	LH2	50.569	13	10	0	47.875		397.581		1.658		172.682		5660482.0	0.9022			!
6742	Prod	LH2	50.602	13	10	0	47.939		397.755		1.658		174.878		5727924.0	0.896			!
6743	Prod	LH2	50.99	13	10	0	48.38		401.01		1.678		160.258		5271630.0	0.8927			!
6744	Prod	LH2	24.548	12	9	0	22.86		191.458		0.41		85.518		1429132.0	0.9378			!
6745	Prod	LH2	24.44	12	9	0	22.781		190.612		0.409		78.016		1308089.0	0.9392			!
6746	Prod	LH2	24.574	12	9	0	22.894		191.619		0.41		81.027		1355333.0	0.9396			!
6747	Prod	LH2	24.457	12	9	0	22.785		190.7		0.409		81.551		1364913.0	0.9355			!
6748	Prod	LH2	24.566	12	9	0	22.883		191.517		0.411		83.445		1397274.0	0.9422			!
6749	Prod	LH2	24.596	12	9	0	22.907		191.722		0.41		85.475		1425716.0	0.938			!
6750	Prod	LH2	24.634	12	9	0	22.968		192.127		0.413		83.462		1399097.0	0.9372			!
6751	Prod	LH2	24.548	12	9	0	22.879		191.432		0.41		82.619		1382627.0	0.9368			!
6752	Prod	LH2	24.448	12	9	0	22.813		190.621		0.408		53.001		900078.0	0.9293			!
6753	Prod	LH2	23.832	12	9	0	22.219		185.73		0.396		48.472		816522.0	0.9356			!
6754	Prod	LH2	24.028	12	9	0	22.418		187.403		0.401		78.452		1314567.0	0.9335			!
6755	Prod	LH2	23.999	12	9	0	22.388		187.174		0.4		73.035		1226157.0	0.9378			!
6756	Prod	LH2	50.886	13	10	0	48.347		399.991		1.682		184.806		6104518.0	0.8951			!
6757	Prod	LH2	51.045	13	10	0	48.53		401.352		1.691		157.822		5225548.0	0.8913			!
6760	Prod	LH2	25.42	12	9	0	23.732		198.186		0.44		66.408		1152305.0	0.9301			!
6761	Prod	LH2	25.329	12	9	0	23.649		197.496		0.438		84.626		1464900.0	0.9374			!
6762	Prod	LH2	25.644	12	9	0	23.947		200.002		0.446		86.257		1499964.0	0.9369			!
6763	Prod	LH2	25.636	12	9	0	23.934		199.904		0.444		90.258		1563383.0	0.9342			!
6764	Prod	LH2	25.646	12	9	0	23.946		199.943		0.445		87.689		1520686.0	0.934			!
6765	Prod	LH2	25.585	12	9	0	23.901		199.439		0.443		83.441		1447047.0	0.9352			!
