###### Update this every run, make sure other PS values are set to -1! #########
###### 

Run	Type     P_SHMS  Theta_SHMS   P_HMS   Theta_HMS   Target   Ebeam  Current   PS1  PS3  PS5   HMS-Rate(kHz)  SHMS-Rate(kHz)  COIN-Rate(kHz)   Charge(mC)     Raw-coin  SHMS_h_tracking      Comment
6613    Heep#5   -2.478  30.000       -2.478  29.985      Dummy    3.835  40        -1   0    -1     0.241          0.617          -------------    ----------     --------  93.63                !Heep Singles PS2=0

6619    Carbon   -3.007   9.500       -2.026  30.00       Carbon   3.835  20
6620    Optics   -3.007   9.500       -2.026  30.00       Carbon   3.835  20
6621    Heep#1   -3.007  21.14        -2.026  38.60       LH2      3.835  50
6622    Heep#1   -3.007  21.14        -2.026  38.60       Dummy    3.835  40     ps2=3 ps3=0         0.060         1.135                                            SHMS e_trk=97.4 
6623    Heep#2   -2.834  24.00        -2.026  38.60       LH2      3.835  50     ps2=3 ps3=0         0.175         8.85                                             SHMS e_trk=97.19
6624    Heep#2   -2.834  24.00        -2.026  38.60       LH2      3.835  50     ps2=4 ps3=0         0.172         8.58                                             SHMS e_trk=97.01
6625    Heep#2   -2.834  24.00        -2.026  38.60       Dummy    3.835  40     ps2=1 ps3=0         0.056         1.220                                            SHMS e_trk=99.00
6626    Heep#3   -2.713  26.00        -2.026  38.60       Dummy    3.835  40     ps2=0 ps3=0         0.054         1.448                                            SHMS e_trk=97.64
6627    Heep#3   -2.713  26.00        -2.026  38.60       LH2      3.835  40     ps2=3 ps3=0         0.171         5.153                                            SHMS e_trk=97.11
6628    ------   ------  -----        ------  -----       -----    -----  --     ----- -----         -----         -----                                            ---------------               !JUNK  
6629    Heep#4   -2.583  28.19        -2.026  38.60       LH2      3.835  40     ps2=2 ps3=0         0.162         3.198                                            SHMS e_trk=97.18
6630    Heep#4   -2.583  28.19        -2.026  38.60       Dummy    3.835  40     ps2=0 ps3=0         0.060         0.892                                            SHMS e_trk=97.69
6631    ------   ------  -----        ------  -----       -----    -----  --     ----- -----         -----         -----                                            ---------------               !JUNK   
6632    Heep#5   -2.478  30.00        -2.026  38.60       Dummy    3.835  40     ps2=0 ps3=0         0.057         0.629                                            SHMS e_trk=97.46
6633    Heep#5   -2.478  30.00        -2.026  38.60       LH2      3.835  50     ps2=2 ps3=0         0.175         2.155                                            SHMS e_trk=97.32

Run	Type     P_SHMS  Theta_SHMS   P_HMS   Theta_HMS   Target   Ebeam  Current   PS1  PS3  PS5   HMS-Rate(kHz)  SHMS-Rate(kHz)  COIN-Rate(kHz)   Charge(mC)     Raw-coin  SHMS_h_tracking      Comment
6634    HeepCoin +2.583  29.305       -2.026  38.60       LH2      3.835  50         3    0    0     0.170           4.476          0.059            44.839         53089     96.25               !26000 Good COIN
