###### Update this every run, make sure other PS values are set to -1! #########
###### 

#      ......................................................... 6.2GeV HEEP and LUMI runs ..................................................................................................................................

Run	Type	P_SHMS	Theta_SHMS      P_HMS	Theta_HMS	Target	Ebeam	Current	PS1	PS2	PS3	HMS-Rate(kHz)	SHMS-Rate(kHz)	COIN-Rate(kHz)	Charge(mC)	Raw-coin	SHMS_h_tracking	        Comment
7876	Prod	3.486	13.28		2.185	-27.25		LH2	6.19009	69.328	12	5	0	4.531		225.656		0.124		231.678		1863057.0	0.9838			!259
7877	Prod	3.486	13.28		2.185	-27.25		LH2	6.19009	68.27	12	5	0	4.5		224.139		0.122		222.27		1784359.0	0.9834			!231

#      .............................................................................................JUNK DATA.................................................................................................................
Run	Type	P_SHMS	Theta_SHMS      P_HMS	Theta_HMS	Target	Ebeam	Current	PS1	PS3	PS5	HMS-Rate(kHz)	SHMS-Rate(kHz)	COIN-Rate(kHz)	Charge(mC)	Raw-coin	SHMS_h_tracking	        Comment
7878	Prod	3.486	16.28		2.185	-27.25		Dummy	6.19009	40.481	12	 5	 0	1.061		37.51		0.016		10.921		27159.0		0.9961			!JUNK
7879	Prod	3.486	13.28	       -2.185	 27.25		Dummy	6.19009 48.784	12	 5	 0	57.223		170.053		-2.007		31.699		1693980.0	0.9902			!JUNK
7880	Prod	3.486	13.28	       -2.185	 27.25		Dummy	6.19009 48.784	12	 5	 0	57.223		170.053		-2.007		31.699		1693980.0	0.9902			!JUNK
#      .............................................................................................JUNK DATA.................................................................................................................


#      .........................................................Q2 = 3.0, W = 2.32, X = 0.40, low epsilon, theta(SHMS = 16.30 deg, left) ......................................................................................

Run	Type	P_SHMS	Theta_SHMS      P_HMS	Theta_HMS	Target	Ebeam	Current	PS1	PS3	PS5	HMS-Rate(kHz)	SHMS-Rate(kHz)	COIN-Rate(kHz)	Charge(mC)	Raw-coin	SHMS_h_tracking	        Comment
7881	Prod	3.486	16.28		2.185	-27.25		Dummy	6.19009	41.023	6	3	0	1.06		37.445		0.016		55.618		1964349.0	0.9933			!Dummy Tgt
7882	Prod	3.486	16.28		2.185	-27.25		LH2	6.19009	70.254	11	7	0	4.513		90.191		0.064		209.186		755740.0	0.9886			!211
7883	Prod	3.486	16.28		2.185	-27.25		LH2	6.19009	71.226	11	7	0	5.017		100.322		0.071		257.166		924634.0	0.9908			!258
7884	Prod	3.486	16.28		2.185	-27.25		LH2	6.19009	70.846	11	7	0	4.987		99.731		0.07		243.507		876028.0	0.9886			!209
7885	Prod	3.486	16.28		2.185	-27.25		LH2	6.19009	70.713	11	7	0	4.059		81.108		0.059		267.212		972491.0	0.9907			!322
7886	Prod	3.486	16.28		2.185	-27.25		LH2	6.19009	70.194	11	7	0	4.944		98.862		0.07		266.44		961794.0	0.989			!365
7887	Prod	3.486	16.28		2.185	-27.25		LH2	6.19009	70.916	11	7	0	5.116		102.34		0.072		301.65		1087886.0	0.9882			!108
7888	Prod	3.486	16.28		2.185	-27.25		Dummy	6.19009	40.354	9	5	0	0.843		13.283		0.013		71.483		266078.0	0.9918			!Dummy Tgt

#      .........................................................Q2 = 2.115, W = 2.95, X = 0.21, low epsilon, theta(SHMS = 8.48 deg, left) ......................................................................................

Run	Type	P_SHMS	Theta_SHMS      P_HMS	Theta_HMS	Target	Ebeam	Current	PS1	PS3	PS5	HMS-Rate(kHz)	SHMS-Rate(kHz)	COIN-Rate(kHz)	Charge(mC)	Raw-coin	SHMS_h_tracking	        Comment
7891	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	69.939	12	8	0	12.613		250.769		0.296		252.502		2035395.0	0.9774			!56
7892	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	69.367	12	8	0	13.073		259.53		0.306		232.898		1873969.0	0.9754			!65
7893	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	70.866	12	8	0	13.792		274.016		0.324		226.929		1833370.0	0.9741			!46
7894	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	69.205	12	8	0	10.146		200.78		0.239		195.38		1583104.0	0.9757			!48
7895	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	69.997	12	8	0	12.441		246.442		0.292		214.419		1733104.0	0.9732			!43
7896	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	70.447	12	8	0	13.142		260.036		0.309		362.667		2935533.0	0.9754			!87
7897	Prod	4.983	8.48		0.888	-36.15		Dummy	6.19009	40.814	12	8	0	2.59		29.022		0.017		41.312		54413.0	        0.9921			!Dummy Tgt
7898	Prod	4.983	8.48		0.888	-36.15		Dummy	6.19009	40.092	10	6	0	2.291		25.642		0.016		87.38		344195.0	0.9945			!Dummy Tgt
7899	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	70.76	12	8	0	12.388		245.156		0.293		234.959		1908867.0	0.9737			!57
7900	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	70.712	12	8	0	13.547		268.005		0.32		260.56		2113461.0	0.9735			!61
7901	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	70.017	12	8	0	12.756		251.462		0.301		242.663		1972975.0				!57
7902	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	70.988	12	8	0	13.706		270.541		0.325		240.043		1959093.0	0.9793			!60
