Run_Start,Run_End,H_del_low,H_del_high,H_xpfp_low,H_xpfp_high,H_ypfp_low,H_ypfp_high,P_del_low P_del_high,P_xpfp_low,P_xpfp_high,P_ypfp_low,P_ypfp_high
7882,7888,-8,8,-0.08,0.08,-0.045,0.045,-10,20,-0.06,0.06,-0.04,0.04 # Q2 = 3, W = 2.32, left, low eps
7891,7908,-8,8,-0.08,0.08,-0.045,0.045,-10,20,-0.06,0.06,-0.04,0.04 # Q2 = 2.115, W = 2.95, left, low eps
7909,7938,-8,8,-0.08,0.08,-0.045,0.045,-10,20,-0.06,0.06,-0.04,0.04 # Q2 = 2.115, W = 2.95, centre, low eps
7978,7989,-8,8,-0.08,0.08,-0.045,0.045,-10,20,-0.06,0.06,-0.04,0.04 # Q2 = 4.4, W = 2.74, centre, low eps, RF switch after 7989 (offset is temp only)
7990,8002,-8,8,-0.08,0.08,-0.045,0.045,-10,20,-0.06,0.06,-0.04,0.04 # Q2 = 4.4, W = 2.74, centre, low eps
8003,8037,-8,8,-0.08,0.08,-0.045,0.045,-10,20,-0.06,0.06,-0.04,0.04 # Q2 = 4.4, W = 2.74, left, low eps
8038,8110,-8,8,-0.08,0.08,-0.045,0.045,-10,20,-0.06,0.06,-0.04,0.04 # Q2 = 3, W = 3.14, centre, low eps
8111,8185,-8,8,-0.08,0.08,-0.045,0.045,-10,20,-0.06,0.06,-0.04,0.04 # Q2 = 3, W = 3.14, left, low eps
8186,8246,-8,8,-0.08,0.08,-0.045,0.045,-10,20,-0.06,0.06,-0.04,0.04 # Q2 = 5.5, W = 3.02, left, low eps
8251,8298,-8,8,-0.08,0.08,-0.045,0.045,-10,20,-0.06,0.06,-0.04,0.04 # Q2 = 5.5, W = 3.02, centre, low eps
8304,8356,-8,8,-0.08,0.08,-0.045,0.045,-10,20,-0.06,0.06,-0.04,0.04 # Q2 = 5.5, W = 3.02, centre, low eps
